text,label
The school has flames everywhere.,Fire
The village are damaged by storm.,Storm
The apartment caught fire.,Fire
The mother needs an ambulance.,Medical
The school has heavy smoke.,Fire
The child needs an ambulance.,Medical
The office has cracks.,Earthquake
The man collapsed suddenly.,Medical
The school is affected by heavy rain.,Flood
The wall is collapsing.,Earthquake
The market is flooded.,Flood
The building is filled with smoke.,Fire
The warehouse is on fire.,Fire
The kitchen has heavy smoke.,Fire
The ground is shaking.,Earthquake
The father needs an ambulance.,Medical
The apartment is filled with smoke.,Fire
The electric poles are facing heavy rain.,Storm
The farm is flooded.,Flood
The apartment is burning.,Fire
The I are studying.,Non-Disaster
The patient has chest pain.,Medical
The child collapsed suddenly.,Medical
The factory has flames everywhere.,Fire
The father cannot breathe.,Medical
The town is underwater.,Flood
The hospital is flooded.,Flood
The building is damaged.,Earthquake
The students are watching a movie.,Non-Disaster
The city are affected by cyclone.,Storm
The friends are going shopping.,Non-Disaster
The I are playing cricket.,Non-Disaster
The school has cracks.,Earthquake
The child cannot breathe.,Medical
The woman is unconscious.,Medical
The child is bleeding.,Medical
The house has overflowing water.,Flood
The road has overflowing water.,Flood
The patient is bleeding.,Medical
The man has chest pain.,Medical
The road is underwater.,Flood
The ground is collapsing.,Earthquake
The school is collapsing.,Earthquake
The we are studying.,Non-Disaster
The patient is unconscious.,Medical
The friends are cooking dinner.,Non-Disaster
The city are hit by strong winds.,Storm
The family are playing cricket.,Non-Disaster
The factory is on fire.,Fire
The wall is shaking.,Earthquake
The family are going to college.,Non-Disaster
The family are cooking dinner.,Non-Disaster
The roads are affected by cyclone.,Storm
The building is shaking.,Earthquake
The street is flooded.,Flood
The school is flooded.,Flood
The man needs an ambulance.,Medical
The office is damaged.,Earthquake
The warehouse has flames everywhere.,Fire
The father has chest pain.,Medical
The shop caught fire.,Fire
The village are hit by strong winds.,Storm
The students are going shopping.,Non-Disaster
The house is flooded.,Flood
The house is filled with smoke.,Fire
The man is unconscious.,Medical
The we are cooking dinner.,Non-Disaster
The factory has heavy smoke.,Fire
The school is vibrating.,Earthquake
The office has flames everywhere.,Fire
The village are facing heavy rain.,Storm
The father is unconscious.,Medical
The patient needs an ambulance.,Medical
The roads are destroyed by winds.,Storm
The house has flames everywhere.,Fire
The I are going shopping.,Non-Disaster
The I are cooking dinner.,Non-Disaster
The mother is bleeding.,Medical
The market is affected by heavy rain.,Flood
The father collapsed suddenly.,Medical
The family are studying.,Non-Disaster
The trees are hit by strong winds.,Storm
The school is shaking.,Earthquake
The electric poles are damaged by storm.,Storm
The we are watching a movie.,Non-Disaster
The patient cannot breathe.,Medical
The house is on fire.,Fire
The warehouse is filled with smoke.,Fire
The students are playing cricket.,Non-Disaster
The I are watching a movie.,Non-Disaster
The office has heavy smoke.,Fire
The wall has cracks.,Earthquake
The bridge is affected by heavy rain.,Flood
The school is damaged.,Earthquake
The building has cracks.,Earthquake
The office is collapsing.,Earthquake
The school is burning.,Fire
The office is shaking.,Earthquake
The mother is unconscious.,Medical
The school caught fire.,Fire
The mother collapsed suddenly.,Medical
The bridge has overflowing water.,Flood
