text,label
pls person had a seizure please,Medical
bro gaas leak after cylinder burst fast,Gas Leak
quick multiple injured people,Medical
quick multiple vehicles collided,Road Accident
fast emergency! my school is burning immediately,Fire
bro roads blocked by fallen trees,Storm
help live wire near school,Electrical Hazard
mall caught frie,Fire
pls truck lost control,Road Accident
pls gas smell everywhere,Gas Leak
fan shaking violently save us,Earthquake
gaas leak after cylinder burst quickly,Gas Leak
emergency! medical emergency,Medical
please trees buried in landslide,Landslide
bro building cracking badly,Building Collapse
madam chemical smell inside building,Gas Leak
bridge inaccessible please,Landslide
fast gass leak caused fire,Fire
cyclone has reached our area please,Storm
entire area under water please,Flood
car rolled over save us,Road Accident
please hospital building shaking,Earthquake
urgent objects falling down,Earthquake
urgent! house collapsedd,Building Collapse
emergency! strong gas smell,Gas Leak
need immediate evacuation immediately,Landslide
everyone evacuated because of gass,Gas Leak
heavy tremors felt,Earthquake
strong water current outside quickly,Flood
suspected gaas cylinder failure,Gas Leak
save us! fire in my house,Fire
save me! gass leak in the kitchen,Gas Leak
shopping mall collapsed now,Building Collapse
urgent heavy smoke from house,Fire
we climbed to terrace quickly,Flood
our area has no electricity save me,Storm
hospital floded,Flood
people trapped after earth quake,Earthquake
urgent possible explosion due to gas,Gas Leak
people stranded on rooftop save me,Flood
please current coming through water save us,Electrical Hazard
cylinder valve is leaking save me,Gas Leak
help water level is rising quickly,Flood
factory is burning,Fire
fast please send medical team,Medical
help! my apartment is burning,Fire
please residents evacuated due to gass,Gas Leak
strong smell of gaas inside house,Gas Leak
sir people running outside,Earthquake
our village is flooed,Flood
lightning struck nearby save us,Storm
cannot stop the gass leak quickly,Gas Leak
walls are cracking,Earthquake
emergency houses buried in mud,Landslide
urgent snake bite emergency,Medical
kitchen caught fire,Fire
help house caught fire,Fire
possible heart attack,Medical
help need evacuation immediately,Flood
urgent need help immediately! current leakage please,Electrical Hazard
fast road blocked by landslide quickly,Landslide
person swallowed poison,Medical
toxic gaas smell,Gas Leak
